label	f1	precision	recall
	0.8795056642636457	0.901	0.8591549295774648
	0.65625	0.672	0.6412213740458015
	0.6455696202531646	0.729	0.5795454545454546
	0.7741935483870968	0.897	0.6808510638297872
	0.5136612021857924	0.635	0.43119266055045874
	0.5857142857142857	0.526	0.6612903225806451
	0.616822429906542	0.579	0.66
	0.6343612334801763	0.750	0.549618320610687
	0.7115384615384616	0.771	0.6607142857142857
	0.6341463414634146	0.578	0.7027027027027027
macro	0.6651762787192579	0.704	0.6426291114157288
micro	0.7382875605815832	0.779	0.7019969278033794
